"entidad","nom_abr","cve_ent","municipio","cve_mun"
"Hidalgo","Hgo.",13,"Apan","13_8"
"Hidalgo","Hgo.",13,"El Arenal","13_9"
"Hidalgo","Hgo.",13,"Atitalaquia","13_10"
"Hidalgo","Hgo.",13,"Atlapexco","13_11"
"Hidalgo","Hgo.",13,"Atotonilco el Grande","13_12"
"Hidalgo","Hgo.",13,"Atotonilco de Tula","13_13"
"Hidalgo","Hgo.",13,"Calnali","13_14"
"Hidalgo","Hgo.",13,"Cardonal","13_15"
"Hidalgo","Hgo.",13,"Cuautepec de Hinojosa","13_16"
"Hidalgo","Hgo.",13,"Chapantongo","13_17"
"Hidalgo","Hgo.",13,"Chapulhuacán","13_18"
"Hidalgo","Hgo.",13,"Chilcuautla","13_19"
"Hidalgo","Hgo.",13,"Eloxochitlán","13_20"
"Hidalgo","Hgo.",13,"Emiliano Zapata","13_21"
"Hidalgo","Hgo.",13,"Epazoyucan","13_22"
"Hidalgo","Hgo.",13,"Francisco I. Madero","13_23"
"Hidalgo","Hgo.",13,"Huasca de Ocampo","13_24"
"Hidalgo","Hgo.",13,"Huautla","13_25"
"Hidalgo","Hgo.",13,"Huazalingo","13_26"
"Hidalgo","Hgo.",13,"Huehuetla","13_27"
